
C3_s21_string+,C2_SimpleBashUtils,500
DO1_Linux,C3_s21_string+,300
C4_s21_math,C2_SimpleBashUtils,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
DO2_Linux Network, DO1_Linux,250
DO3_LinuxMonitoring v1.0,DO2_Linux Network,350
DO4_LinuxMonitoring v2.0,DO3_LinuxMonitoring v1.0,350
DO5_SimpleDocker,DO3_LinuxMonitoring v1.0,300
DO6_CICD,DO5_SimpleDocker,300
SQL1_Bootcamp,C8_3DViewer_v1.0,1500
SQL2_Info21 v1.0,SQL1_Bootcamp,500
SQL3_RetailAnalitycs v1.0,SQL2_Info21 v1.0,600
