
2,1,E,Success,08:20:00
3,2,C,Start,08:00:00
4,2,C,Success,08:20:00
5,3,D,Start,08:00:00
6,3,D,Failure,08:20:00
7,4,C,Start,08:00:00
8,4,C,Success,08:20:00
9,5,C,Start,08:00:00
10,5,C,Success,08:20:00
11,6,B,Start,08:00:00
12,6,B,Success,08:20:00
13,7,C,Start,08:00:00
14,7,C,Success,08:20:00
15,8,D,Start,08:00:00
16,8,D,Success,08:20:00
17,9,E,Start,08:00:00
18,9,E,Success,08:20:00
19,10,B,Start,08:00:00
20,10,B,Success,08:20:00
21,11,C,Start,08:00:00
22,11,C,Success,08:20:00
23,12,B,Start,08:00:00
24,12,B,Success,08:20:00
25,13,C,Success,18:20:00
26,14,D,Success,19:20:00
