
2,1,Failure,08:21:00
3,2,Start,08:20:00
4,2,Success,08:21:00
5,4,Start,08:20:00
6,4,Success,08:21:00
7,5,Start,08:20:00
8,5,Success,08:21:00
9,6,Start,08:20:00
10,6,Success,08:21:00
11,7,Start,08:20:00
12,7,Success,08:21:00
13,8,Start,08:20:00
14,8,Success,08:21:00
15,9,Start,08:20:00
16,9,Success,08:21:00
17,10,Start,08:20:00
18,10,Success,08:21:00
19,11,Start,08:20:00
20,11,Success,08:21:00
21,12,Start,08:20:00
22,12,Success,08:21:00
23,13,Start,18:20:00
24,13,Success,18:21:00
25,14,Start,19:20:00
26,14,Success,19:21:00
